"ilce","ilce_kodu","musteri_tipi","gaz_abone_sayisi","gaz_kullanici_sayisi"
Adalar,1103,Hayır Kurumu ve Müze,24,24
Adalar,1103,İbadethane,9,8
Adalar,1103,Mesken,8456,8298
Adalar,1103,Resmi Kurum,357,350
Adalar,1103,Ticari,756,733
Adalar,1103,Yabancı Temsilcilik,7,7
Arnavutköy,2048,Hayır Kurumu ve Müze,61,52
Arnavutköy,2048,İbadethane,119,107
Arnavutköy,2048,Mesken,90872,87417
Arnavutköy,2048,Resmi Kurum,2307,2187
Arnavutköy,2048,Sanayi Tesisleri,1693,1596
Arnavutköy,2048,Ticari,31620,28458
Ataşehir,2049,Hayır Kurumu ve Müze,77,44
Ataşehir,2049,İbadethane,156,146
Ataşehir,2049,Mesken,162043,159459
Ataşehir,2049,Resmi Kurum,3184,3136
Ataşehir,2049,Sanayi Tesisleri,93,93
Ataşehir,2049,Ticari,27209,24029
Avcılar,2003,Hayır Kurumu ve Müze,128,124
Avcılar,2003,İbadethane,38,37
Avcılar,2003,Mesken,152452,150035
Avcılar,2003,Resmi Kurum,5710,5610
Avcılar,2003,Sanayi Tesisleri,2183,2183
Avcılar,2003,Ticari,14708,12434
Bağcılar,2004,Hayır Kurumu ve Müze,188,184
Bağcılar,2004,İbadethane,190,185
Bağcılar,2004,Mesken,228188,223451
Bağcılar,2004,Resmi Kurum,5755,5734
Bağcılar,2004,Sanayi Tesisleri,891,891
Bağcılar,2004,Ticari,31869,26869
Bahçelievler,2005,Hayır Kurumu ve Müze,228,225
Bahçelievler,2005,İbadethane,304,300
Bahçelievler,2005,Mesken,205841,203372
Bahçelievler,2005,Resmi Kurum,4823,4716
Bahçelievler,2005,Sanayi Tesisleri,1139,1139
Bahçelievler,2005,Ticari,27152,24265
Bakırköy,1166,Hayır Kurumu ve Müze,148,135
Bakırköy,1166,İbadethane,206,196
Bakırköy,1166,Mesken,102096,100727
Bakırköy,1166,Resmi Kurum,9755,9551
Bakırköy,1166,Sanayi Tesisleri,231,231
Bakırköy,1166,Ticari,25376,23883
Bakırköy,1166,Yabancı Temsilcilik,8,7
Başakşehir,2050,Hayır Kurumu ve Müze,99,99
Başakşehir,2050,İbadethane,131,120
Başakşehir,2050,Mesken,135195,132054
Başakşehir,2050,Resmi Kurum,3050,2936
Başakşehir,2050,Sanayi Tesisleri,885,885
Başakşehir,2050,Ticari,39292,19188
Başakşehir,2050,Diğer,1,
Bayrampaşa,1886,Hayır Kurumu ve Müze,87,86
Bayrampaşa,1886,İbadethane,280,274
Bayrampaşa,1886,Mesken,94267,93306
Bayrampaşa,1886,Resmi Kurum,2762,2736
Bayrampaşa,1886,Sanayi Tesisleri,264,264
Bayrampaşa,1886,Ticari,18506,15069
Bayrampaşa,1886,Diğer,,1
Beşiktaş,1183,Hayır Kurumu ve Müze,94,94
Beşiktaş,1183,İbadethane,122,120
Beşiktaş,1183,Mesken,94895,91793
Beşiktaş,1183,Resmi Kurum,12669,11438
Beşiktaş,1183,Sanayi Tesisleri,2682,2682
